施設名等,設置場所,区,所在地,緯度,経度
ふれあいプラザいわつき,１階西側トイレ,岩槻区,東岩槻6-6,35.9624537362083,139.716483312297
ふれあいプラザいわつき,１階東側トイレ,岩槻区,東岩槻6-6,35.9624537362083,139.716483312297
ふれあいプラザいわつき,正面入口(屋外24時間),岩槻区,東岩槻6-6,35.9624537362083,139.716483312297
河合放課後児童クラブ（河合小児童クラブ）,クラブ室内,岩槻区,平林寺371-4,35.967769,139.671926
府内市民の窓口,市民の窓口内,岩槻区,府内1-8-1,35.943826,139.710875
療育センターひなぎく,受付,岩槻区,府内1-8-1,35.9437985409608,139.710961389917
コミュニティセンターいわつき,１階階段横,岩槻区,本町1-10-7,35.9474686693978,139.691824072786
コミュニティセンターいわつき,３階トイレ,岩槻区,本町1-10-7,35.9474686693978,139.691824072786
コミュニティセンターいわつき,正面入口(屋外24時間),岩槻区,本町1-10-7,35.9474686693978,139.691824072786
岩槻児童センター,センター内,岩槻区,本町1-11-11,35.946719,139.691866
岩槻本町保育園,園内,岩槻区,本町2-5-5,35.9441537,139.6935401
岩槻駅東口コミュニティセンター,３階トイレ,岩槻区,本町3-1-1,35.9512974405335,139.693806326755
岩槻駅東口コミュニティセンター,５階トイレ,岩槻区,本町3-1-1,35.9512974405335,139.693806326755
岩槻駅東口コミュニティセンター,4階トイレ,岩槻区,本町3-1-1,35.9512974405335,139.693806326755
岩槻駅東口コミュニティセンター,2階ロビー,岩槻区,本町3-1-1,35.9512974405335,139.693806326755
子育て支援センターいわつき,事務室,岩槻区,本町3-1-1 WATSU西館４階,35.950357,139.693866
岩槻区役所,３階トイレ,岩槻区,本町3-2-5,35.9500104393955,139.694155923456
岩槻区役所,４階トイレ,岩槻区,本町3-2-5,35.9500104393955,139.694155923456
岩槻区役所,正面入口(屋外24時間),岩槻区,本町3-2-5,35.9500104393955,139.694155923456
岩槻駅東口公共駐車場,５階南側出入口,岩槻区,本町3-2-5,35.9504211570162,139.694730051456
岩槻駅東口公共駐車場,６階事務室,岩槻区,本町3-2-5,35.9504211570162,139.694730051456
岩槻放課後児童クラブ,クラブ室内,岩槻区,本町5-6-45,35.9536949,139.6985366
岩槻人形博物館,ロッカー室,岩槻区,本町6-1-1,35.950849,139.700082
にぎわい交流館いわつき,１階受付,岩槻区,本町6-1-2,35.950849,139.700082
岩槻温水プール,監視室,岩槻区,本丸3-17-2,35.9542876524864,139.705419938118
岩槻温水プール,事務室,岩槻区,本丸3-17-2,35.9542876524864,139.705419938118
城南放課後児童クラブ,クラブ室内,岩槻区,南下新井1191-1,35.9359332,139.712631
美幸保育園,園内,岩槻区,美幸町3-18,35.9602155,139.6909925
岩槻文化公園,テニス管理棟内,岩槻区,村国229,35.944539,139.721724
岩槻文化公園,事務室前通路,岩槻区,村国229,35.944539,139.721724
新治ファミリーランド,温泉棟,市外,群馬県利根郡みなかみ町相俣159-1,36.720104,138.896853
新治ファミリーランド,管理棟,市外,群馬県利根郡みなかみ町相俣159-1,36.720104,138.896853
新治ファミリーランド,水回り棟(屋外開庁時),市外,群馬県利根郡みなかみ町相俣159-1,36.720104,138.896853
新治ファミリーランド,オートサイトトイレ棟(屋外開庁時),市外,群馬県利根郡みなかみ町相俣159-1,36.720104,138.896853
ホテル南郷,１階ロビー,市外,福島県南会津郡南会津町界454,37.267356,139.541422
ホテル南郷,本館2階エレベーター前,市外,福島県南会津郡南会津町界454,37.267356,139.541422
ホテル南郷,温泉棟トイレ前,市外,福島県南会津郡南会津町界454,37.267356,139.541422
